"cname"	"une_imr"	"wdi_gdppccon"	"africa"
"Afghanistan"	71	0.418426208496094	0
"Albania"	15	3.76466259765625	0
"Algeria"	17.2000007629395	3.30470190429687	0
"Andorra"	2.59999990463257	33.3574609375	0
"Angola"	99.5	NA	1
"Antigua and Barbuda"	9.19999980926514	11.6077451171875	0
"Azerbaijan"	30.7999992370605	3.1145625	0
"Argentina"	12.6999998092651	7.5710283203125	0
"Australia"	4.09999990463257	37.241390625	0
"Austria"	3.29999995231628	41.2297265625	0
"Bahamas"	13.8999996185303	21.035564453125	0
"Bahrain"	8.19999980926514	16.5973828125	0
"Bangladesh"	33.0999984741211	0.681043762207031	0
"Armenia"	14.6999998092651	2.23028881835938	0
"Barbados"	16.8999996185303	14.5224833984375	0
"Belgium"	3.40000009536743	38.02418359375	0
"Bhutan"	35.7000007629395	1.96361059570312	0
"Bolivia"	32.7999992370605	1.29118957519531	0
"Bosnia and Herzegovina"	5.80000019073486	3.32201049804687	0
"Botswana"	41	6.4696455078125	1
"Brazil"	12.8999996185303	5.79129541015625	0
"Belize"	15.6999998092651	3.98451416015625	0
"Solomon Islands"	25.8999996185303	1.11515209960937	0
"Brunei"	6.69999980926514	25.360884765625	0
"Bulgaria"	10.5	4.83698974609375	0
"Myanmar"	41.0999984741211	NA	0
"Burundi"	66.9000015258789	0.148983428955078	1
"Belarus"	3.90000009536743	4.87098291015625	0
"Cambodia"	33.9000015258789	0.67310302734375	0
"Cameroon"	61.0999984741211	0.962871032714844	1
"Canada"	4.69999980926514	37.442328125	0
"Cape Verde"	18.8999996185303	2.7098330078125	1
"Central African Republic"	90.6999969482422	0.364548583984375	1
"Sri Lanka"	8.30000019073486	1.93551147460937	0
"Chad"	89.4000015258789	0.722045654296875	1
"Chile"	7.80000019073486	9.4779267578125	0
"China"	12.1000003814697	3.37781518554688	0
"Taiwan"	NA	NA	0
"Colombia"	15.1000003814697	4.3278193359375	0
"Comoros"	57.7000007629395	0.593032836914062	1
"Congo"	62.2000007629395	1.96675573730469	1
"Congo, Democratic Republic"	99.9000015258789	0.255207702636719	1
"Costa Rica"	8.60000038146973	5.908556640625	0
"Croatia"	4	10.626076171875	0
"Cuba"	4.30000019073486	5.1759365234375	0
"Cyprus (1975-)"	2.5	23.351876953125	0
"Czech Republic"	3.09999990463257	14.7426640625	0
"Benin"	58.5	0.621834594726563	1
"Denmark"	3	47.6488359375	0
"Dominica"	11.5	5.9486962890625	0
"Dominican Republic"	22.7999992370605	4.78289404296875	0
"Ecuador"	19.7999992370605	3.623865234375	0
"El Salvador"	13.6000003814697	3.14554931640625	0
"Equatorial Guinea"	72.1999969482422	13.9693681640625	1
"Ethiopia (1993-)"	46.5	0.272316802978516	1
"Eritrea"	37.2000007629395	0.239760467529297	1
"Estonia"	2.90000009536743	11.7655537109375	0
"Fiji"	19.1000003814697	3.51076635742188	0
"Finland"	2.40000009536743	39.763359375	0
"France (1963-)"	3.40000009536743	35.67597265625	0
"Djibouti"	65.6999969482422	1.15242944335937	1
"Gabon"	42.4000015258789	7.0900712890625	1
"Georgia"	17.7999992370605	2.088890625	0
"Gambia"	49.2000007629395	0.439542785644531	1
"Germany"	3.40000009536743	39.37251171875	0
"Ghana"	48.5999984741211	0.717881042480469	1
"Kiribati"	46.2999992370605	1.09652941894531	0
"Greece"	4.09999990463257	18.508259765625	0
"Grenada"	11.3999996185303	6.27475341796875	0
"Guatemala"	26.5	2.272083984375	0
"Guinea"	65.1999969482422	0.303492858886719	1
"Guyana"	29	1.48716772460938	0
"Haiti"	56.5	0.472158935546875	0
"Honduras"	19.3999996185303	1.61372399902344	0
"Hungary"	5.30000019073486	11.2296318359375	0
"Iceland"	1.79999995231628	57.344984375	0
"India"	43.7999992370605	1.10291027832031	0
"Indonesia"	25.7999992370605	1.71509252929688	0
"Iran"	15.1000003814697	3.55042163085938	0
"Iraq"	28.3999996185303	2.48255859375	0
"Ireland"	3.40000009536743	49.24315234375	0
"Israel"	3.29999995231628	24.127951171875	0
"Italy"	3.20000004768372	29.9639296875	0
"Cote d'Ivoire"	76.1999969482422	0.956256713867187	1
"Jamaica"	14.3999996185303	4.08159057617187	0
"Japan"	2.20000004768372	36.91219921875	0
"Kazakhstan"	16.7000007629395	5.1925703125	0
"Jordan"	16.3999996185303	2.83914990234375	0
"Kenya"	48.7000007629395	0.624008850097656	1
"Korea, North"	22.7000007629395	NA	0
"Korea, South"	3.29999995231628	23.3030859375	0
"Kuwait"	9.5	29.26439453125	0
"Kyrgyzstan"	23.6000003814697	0.577017456054687	0
"Laos"	54	0.7251298828125	0
"Lebanon"	8	7.2191435546875	0
"Lesotho"	74.1999969482422	0.935913391113281	1
"Latvia"	7.59999990463257	8.973001953125	0
"Liberia"	56	0.217287521362305	1
"Libya"	13.1999998092651	7.0782080078125	0
"Liechtenstein"	NA	114.8027109375	0
"Lithuania"	4.40000009536743	10.2081083984375	0
"Luxembourg"	1.70000004768372	80.0111015625	0
"Madagascar"	40.9000015258789	0.271793609619141	1
"Malawi"	46	0.262354461669922	1
"Malaysia (1966-)"	7.30000019073486	6.83726708984375	0
"Maldives"	9	4.8786533203125	0
"Mali"	79.5999984741211	0.445692596435547	1
"Malta"	5.80000019073486	16.439703125	0
"Mauritania"	64.8000030517578	0.819427612304688	1
"Mauritius"	13	6.68307421875	1
"Mexico"	13.8999996185303	8.4445068359375	0
"Monaco"	3.09999990463257	NA	0
"Mongolia"	23	1.62023779296875	0
"Moldova"	15.1000003814697	1.03964538574219	0
"Montenegro"	5.5	4.534974609375	0
"Morocco"	26.7999992370605	2.44231420898437	0
"Mozambique"	63.0999984741211	0.493225555419922	1
"Oman"	10	12.29774609375	0
"Namibia"	28.2999992370605	4.36018994140625	1
"Nauru"	NA	NA	0
"Nepal"	33.5999984741211	0.398123199462891	0
"Netherlands"	3.40000009536743	43.3967421875	0
"Vanuatu"	15.3000001907349	2.09569262695313	0
"New Zealand"	4.69999980926514	28.71565234375	0
"Nicaragua"	20.6000003814697	1.359525390625	0
"Niger"	62.7999992370605	0.284223846435547	1
"Nigeria"	77.8000030517578	1.03380090332031	1
"Norway"	2.20000004768372	66.8250234375	0
"Micronesia"	31.2999992370605	2.44300439453125	0
"Marshall Islands"	30.8999996185303	2.83996728515625	0
"Palau"	14.8000001907349	8.9822724609375	0
"Pakistan (1971-)"	69.3000030517578	0.776495239257812	0
"Panama"	15.8999996185303	7.3731728515625	0
"Papua New Guinea"	48.4000015258789	1.08647912597656	0
"Paraguay"	18.7999992370605	1.80088452148437	0
"Peru"	14.1000003814697	3.91195092773438	0
"Philippines"	23.5	1.51038671875	0
"Poland"	4.30000019073486	10.7392001953125	0
"Portugal"	2.90000009536743	18.228720703125	0
"Guinea-Bissau"	80.8000030517578	0.428902923583984	1
"Timor-Leste"	47.7999992370605	0.738015869140625	0
"Qatar"	6.30000019073486	61.608109375	0
"Romania"	10.6999998092651	5.83669091796875	0
"Russia"	8.89999961853027	6.8457705078125	0
"Rwanda"	38.7999992370605	0.417248168945313	1
"St Kitts and Nevis"	7	10.5336650390625	0
"St Lucia"	14.8999996185303	5.71074609375	0
"St Vincent and the Grenadines"	21.1000003814697	5.43862548828125	0
"San Marino"	2.90000009536743	NA	0
"Sao Tome and Principe"	38	1.02684069824219	1
"Saudi Arabia"	7.40000009536743	16.702501953125	0
"Senegal"	45.2000007629395	0.798228576660156	1
"Serbia"	5.69999980926514	4.17472607421875	0
"Seychelles"	11.1999998092651	14.74986328125	1
"Sierra Leone"	117.400001525879	0.424210418701172	1
"Singapore"	2.29999995231628	36.48259765625	0
"Slovakia"	6.30000019073486	15.222685546875	0
"Vietnam"	18.3999996185303	0.986013732910156	0
"Slovenia"	2.5	18.848236328125	0
"Somalia"	90.8000030517578	NA	1
"South Africa"	33.2999992370605	6.051314453125	1
"Zimbabwe"	55.7000007629395	0.441916717529297	1
"Spain"	3.79999995231628	25.144689453125	0
"South Sudan"	66.6999969482422	NA	1
"Sudan (2012-)"	49.2999992370605	0.953030639648437	1
"Suriname"	18.5	4.534345703125	0
"Swaziland"	55.7000007629395	2.46816235351563	1
"Sweden"	2.29999995231628	45.26004296875	0
"Switzerland"	3.70000004768372	58.566421875	0
"Syria"	12.3000001907349	NA	0
"Tajikistan"	49	0.463139831542969	0
"Thailand"	11.3999996185303	3.66474169921875	0
"Togo"	62	0.407965454101562	1
"Tonga"	11.1000003814697	2.5803271484375	0
"Trinidad and Tobago"	18.3999996185303	14.14392578125	0
"United Arab Emirates"	7.19999980926514	25.55512890625	0
"Tunisia"	13.8000001907349	3.81743334960938	0
"Turkey"	12.1999998092651	8.4716416015625	0
"Turkmenistan"	44.7999992370605	3.26966674804688	0
"Tuvalu"	24.7999992370605	2.62388134765625	0
"Uganda"	45.4000015258789	0.429402923583984	1
"Ukraine"	9.19999980926514	2.0941201171875	0
"Macedonia"	6.5	3.74661889648437	0
"Egypt"	17.8999996185303	1.47006652832031	0
"United Kingdom"	4.09999990463257	39.95416015625	0
"Tanzania"	37.7000007629395	0.546196655273438	1
"United States"	6	45.00861328125	0
"Burkina Faso"	65.8000030517578	0.502153656005859	1
"Uruguay"	6.19999980926514	7.41920458984375	0
"Uzbekistan"	34.4000015258789	0.849059692382813	0
"Venezuela"	13.1000003814697	6.43363232421875	0
"Samoa"	15.3000001907349	2.7416220703125	0
"Yemen"	46.2999992370605	0.698967529296875	0
"Zambia"	56.4000015258789	0.970765075683594	1
